year,ccode,corruption_percentile,ROL_percentile,ROL_estimate,voiceaccount_sources
1996,SEN,52.1505394,46.2311554,-0.181543231,6
1996,SRB,11.82795715,10.55276394,-1.262493134,6
1996,SYC,72.5806427,67.83919525,0.599600136,4
1996,SLE,26.34408569,8.542713165,-1.381991386,5
1996,SGP,97.31182861,87.93969727,1.239345193,7
1996,SVK,62.90322495,57.28643036,0.159563527,6
1996,SVN,81.72042847,84.92462158,1.068722963,5
1996,SLB,65.05376434,69.34673309,0.739518106,3
1996,SOM,5.376344204,0,-2.144657373,4
1996,ZAF,76.34408569,55.27638245,0.087929197,7
1996,SSD,,,,
1996,ESP,82.79570007,90.45226288,1.435085535,7
1996,LKA,54.30107498,57.78894424,0.161260232,6
1996,KNA,,76.8844223,0.809140563,2
1996,LCA,,76.8844223,0.809140563,2
1996,VCT,,76.8844223,0.809140563,2
1996,SDN,6.989247322,2.010050297,-1.708835721,6
1996,SUR,61.29032135,48.24120712,-0.080992602,5
1996,SWE,98.92472839,96.98492432,1.795861244,7
1996,CHE,95.6989212,100,1.931551933,7
1996,SYR,19.89247322,33.1658287,-0.546156049,6
1996,TWN,73.1182785,70.35176086,0.7597,7
1996,TJK,5.913978577,3.015075445,-1.648157358,4
1996,TZA,29.56989288,45.72864151,-0.186238185,6
1996,THA,45.16128922,64.82411957,0.539628804,7
1996,TLS,,4.522613049,-1.568575501,1
1996,TGO,24.1935482,26.63316536,-0.73124963,5
1996,TON,,76.8844223,0.809140563,2
1996,TTO,80.64516449,64.3216095,0.534295142,6
1996,TUN,35.48387146,41.2060318,-0.30340305,6
1996,TUR,51.61290359,47.23617935,-0.13879478,7
1996,TKM,15.59139824,6.03015089,-1.487391114,4
1996,TUV,,76.8844223,0.809140563,2
1996,UGA,27.95698929,32.66331482,-0.580390334,6
1996,UKR,13.44085979,22.61306572,-0.823546648,5
1996,ARE,57.52688217,68.84422302,0.688413978,5
1996,GBR,95.16129303,94.4723587,1.62873435,7
1996,USA,91.39785004,92.46231079,1.500218987,7
1996,URY,82.25806427,65.82914734,0.561770856,7
1996,UZB,12.9032259,12.06030178,-1.239178658,4
1996,VUT,62.36559296,62.31155777,0.323560953,3
1996,VEN,22.58064461,26.13065338,-0.750197589,8
1996,VNM,37.09677505,36.68341827,-0.482426614,6
1996,VIR,,,,
1996,PSE,59.13978577,48.74371719,-0.039659597,3
1996,YEM,27.41935539,9.045226097,-1.379763603,6
1996,ZMB,24.7311821,34.17085266,-0.531715393,6
1996,ZWE,47.8494606,23.1155777,-0.814238489,6
1998,AFG,8.021389961,2,-1.734886765,4
1998,ALB,18.18181801,19.5,-0.929671705,5
1998,DZA,22.99465179,11.5,-1.198362112,6
1998,ASM,,,,
1998,AND,89.30480957,85.5,1.177253962,3
1998,AGO,7.486630917,5.5,-1.527338624,6
1998,AIA,,,,
1998,ATG,80.74866486,84,1.053563118,3
1998,ARG,50.26737976,50.5,-0.038881578,8
1998,ARM,21.92513275,40,-0.380856782,5
1998,ABW,,,,
1998,AUS,92.5133667,96.5,1.756802797,7
1998,AUT,93.04812622,97.5,1.803287983,7
1998,AZE,3.743315458,15,-1.121610641,6
1998,BHS,85.56150055,89,1.258561134,4
1998,BHR,62.03208542,63,0.35234648,5
1998,BGD,28.87700462,19,-0.935864508,6
1998,BRB,90.90908813,87.5,1.232990623,4
1998,BLR,47.59358215,22,-0.891576588,5
1998,BEL,87.16577911,87,1.218205571,7
1998,BLZ,54.54545593,48.5,-0.106160082,3
1998,BEN,33.68983841,54,0.050550632,4
1998,BMU,89.30480957,86.5,1.209021807,1
1998,BTN,81.28342438,53,0.038308375,4
1998,BOL,40.64171219,44,-0.22726056,7
1998,BIH,42.24599075,30.5,-0.671884239,4
1998,BWA,78.07486725,68.5,0.631555796,6
1998,BRA,56.1497345,45,-0.202992082,8
1998,BRN,64.70587921,65,0.531829596,4
1998,BGR,50.80213928,44.5,-0.222114488,6
1998,BFA,57.75400925,20.5,-0.912859261,5
1998,BDI,32.62031937,8.5,-1.37878561,4
1998,CPV,83.95722198,69.5,0.672074854,3
1998,KHM,19.25133705,13,-1.17863512,5
1998,CMR,3.208556175,14.5,-1.138637066,6
1998,CAN,95.18716431,94.5,1.714995384,7
1998,CYM,89.30480957,91.5,1.460960031,1
1998,CAF,11.76470566,13.5,-1.166547298,4
1998,TCD,1.604278088,12,-1.190580368,4
1998,CHL,86.09626007,84.5,1.097601771,8
1998,CHN,45.98930359,36,-0.476805359,7
1998,COL,36.36363602,31,-0.662920475,8
1998,COM,20.32085609,23,-0.881385922,4
1998,COD,1.069518685,0.5,-1.918398976,4
1998,COG,5.882352829,3,-1.618808627,5
1998,COK,,,,
1998,CRI,77.00534821,69,0.633012652,7
1998,CIV,37.96791458,20,-0.922914207,6
1998,HRV,35.29411697,39,-0.406373352,6
1998,CUB,64.17111969,16.5,-1.045863271,6
1998,CYP,81.8181839,80.5,0.945576549,6
1998,CZE,70.05347443,74.5,0.866274714,7
1998,DNK,99.46524048,98,1.837266684,7
1998,DJI,32.08555984,21,-0.909501016,4
1998,DMA,80.74866486,74,0.843007863,3
1998,DOM,29.41176414,33.5,-0.576960266,6
1998,ECU,28.3422451,34,-0.539550304,7
1998,EGY,39.03743362,47.5,-0.126968279,6
1998,SLV,25.6684494,29,-0.690760374,7
1998,GNQ,6.951871872,9,-1.352814674,5
1998,ERI,69.5187149,32.5,-0.63481617,4
1998,EST,73.26203156,66,0.592054188,6
1998,SWZ,56.6844902,31.5,-0.662509441,4
1998,ETH,24.59893036,21.5,-0.908676982,6
1998,FJI,74.3315506,62.5,0.343518049,4
1998,FIN,100,100,1.952075005,7
1998,FRA,89.83956909,91,1.364515781,7
1998,GUF,80.74866486,81.5,0.957083583,1
1998,GAB,17.64705849,41,-0.370705366,6
1998,GMB,44.91978455,51.5,-0.002620436,5
1998,GEO,19.78609657,11,-1.218148708,4
1998,DEU,94.65240479,93.5,1.621989489,7
1998,GHA,47.05882263,37.5,-0.439805567,6
1998,GRC,76.47058868,71.5,0.77567035,7
1998,GRL,,,,
1998,GRD,80.74866486,63.5,0.421897411,3
1998,GUM,,,,
1998,GTM,26.20320892,17,-1.041270375,7
1998,GIN,14.43850231,8,-1.391768932,5
1998,GNB,12.29946518,1,-1.880132079,4
1998,GUY,46.52406311,41.5,-0.367153853,5
1998,HTI,9.090909004,6.5,-1.425189376,5
1998,HND,16.57753944,22.5,-0.885578394,7
1998,HKG,86.63101959,82.5,0.984140694,5
1998,HUN,75.40106964,73.5,0.813627005,7
1998,ISL,94.11764526,94,1.659660578,6
1998,IND,49.73262024,62,0.335014313,7
1998,IDN,10.69518757,27.5,-0.750535488,7
1998,IRN,40.10695267,29.5,-0.683586836,6
1998,IRQ,0.534759343,4,-1.548183203,6
1998,IRL,91.44384766,93,1.591489792,7
1998,ISR,83.42246246,83,0.993849754,7
1998,ITA,68.44919586,73,0.801862299,7
1998,JAM,59.89304733,43,-0.248288304,6
1998,JPN,82.35294342,90.5,1.348525167,7
1998,JEY,,,,
1998,JOR,59.35828781,61,0.300132543,6
1998,KAZ,13.90374374,16,-1.113345981,6
1998,KEN,9.625668526,17.5,-1.028106928,6
1998,KIR,,80,0.876508176,2
1998,PRK,5.347593784,14,-1.153196096,5
1998,KOR,63.10160446,72,0.778700531,7
1998,XKX,,,,1
1998,KWT,71.12299347,67,0.608353674,6
1998,KGZ,16.04277992,25,-0.795788229,4
1998,LAO,31.55080223,18,-0.992841363,4
1998,LVA,60.42780685,59,0.236508295,6
1998,LBN,39.57219315,38.5,-0.41389513,5
1998,LSO,52.94117737,56.5,0.167446434,3
1998,LBR,0,1.5,-1.802050948,5
1998,LBY,24.06417084,15.5,-1.118726015,6
1998,LIE,89.30480957,92,1.47467351,3
1998,LTU,63.63636398,65.5,0.552288771,6
1998,LUX,93.58288574,97,1.763727546,5
1998,MAC,67.37967682,58.5,0.201268852,1
1998,MDG,35.8288765,40.5,-0.37104407,5
1998,MWI,49.19786072,38,-0.42472738,6
1998,MYS,65.77539825,60.5,0.28235504,7
1998,MDV,48.12834167,45.5,-0.17673704,4
1998,MLI,25.13368988,43.5,-0.227835923,5
1998,MLT,70.58823395,89.5,1.26121223,4
1998,MHL,,46.5,-0.161209628,2
1998,MTQ,80.74866486,86.5,1.209021807,1
1998,MRT,36.89839554,37,-0.457131624,4
1998,MUS,60.96256638,83.5,1.017152309,4
1998,MEX,43.8502655,35,-0.532132268,8
1998,FSM,,80,0.876508176,2
1998,MDA,42.78075027,49.5,-0.063543558,6
1998,MCO,,80,0.876508176,2
1998,MNG,58.82352829,59.5,0.242999539,5
1998,MNE,68.98395538,26,-0.79322499,1
1998,MAR,58.28876877,55.5,0.129340261,6
1998,MOZ,43.3155098,24.5,-0.832234144,6
1998,MMR,2.139037371,4.5,-1.534330487,6
1998,NAM,75.93582916,58,0.178116381,6
1998,NRU,,80,0.876508176,2
1998,NPL,34.75935745,52,0.009221238,4
1998,NLD,97.32620239,95.5,1.742527723,7
1998,ANT,,,,
1998,NZL,97.86096191,98.5,1.850499153,7
1998,NIC,20.85561562,33,-0.605091035,7
1998,NER,14.97326183,30,-0.683503091,5
1998,NGA,10.16042805,12.5,-1.189121246,6
1998,NIU,,,,
1998,MKD,34.22459793,42,-0.331668794,5
1998,NOR,98.39572144,99.5,1.949824214,7
1998,OMN,74.86631012,64,0.4239721,6
1998,PAK,13.36898422,25.5,-0.793338299,6
1998,PLW,,80,0.876508176,2
1998,PAN,51.87165833,47,-0.130363435,7
1998,PNG,31.01604271,35.5,-0.518381953,6
1998,PRY,2.673796892,24,-0.834110796,7
1998,PER,41.17647171,28,-0.738637686,7
1998,PHL,44.38502502,52.5,0.027259612,7
1998,POL,77.54010773,72.5,0.798767924,7
1998,PRT,85.02674103,88.5,1.242640018,7
1998,PRI,67.37967682,81.5,0.957083583,2
1998,QAT,67.91443634,57.5,0.172034457,6
1998,REU,,,,
1998,ROU,33.15507889,48,-0.110562637,6
1998,RUS,21.39037514,23.5,-0.855796993,7
1998,RWA,29.94652367,6,-1.460957766,4
1998,WSM,54.54545593,82,0.959765494,3
1998,SMR,,80,0.876508176,2
1998,STP,66.31015778,60,0.26272431,4
1998,SAU,48.6631012,53.5,0.046700627,6
1998,SEN,52.40641785,55,0.068834841,6
1998,SRB,6.41711235,10,-1.264376521,6
1998,SYC,71.65775299,68,0.620563447,4
1998,SLE,30.48128319,9.5,-1.314346433,4
1998,SGP,96.79144287,88,1.237705231,7
1998,SVK,57.21924973,57,0.168831423,6
1998,SVN,84.49198151,85,1.177163124,6
1998,SLB,65.24063873,70.5,0.7313869,3
1998,SOM,8.556149483,0,-2.136153221,4
1998,ZAF,72.72727203,56,0.157686293,7
1998,SSD,,,,
1998,ESP,90.37432861,90,1.30619204,7
1998,LKA,53.47593689,54.5,0.064277157,6
1998,KNA,,80,0.876508176,2
1998,LCA,,80,0.876508176,2
1998,VCT,,80,0.876508176,2
1998,SDN,12.8342247,2.5,-1.670088053,6
1998,SUR,62.56684494,51,-0.004134504,5
1998,SWE,98.93048096,96,1.751435757,7
1998,CHE,95.72192383,99,1.927548409,7
1998,SYR,23.52941132,34.5,-0.537084103,6
1998,TWN,72.19251251,71,0.741965652,7
1998,TJK,4.812834263,5,-1.533623457,4
1998,TZA,27.80748749,46,-0.16628775,6
1998,THA,51.3368988,64.5,0.509335399,7
1998,TLS,,3.5,-1.568880916,1
1998,TGO,27.27272797,27,-0.75963217,5
1998,TON,,80,0.876508176,2
1998,TTO,73.79679108,66.5,0.59451288,6
1998,TUN,41.71123123,42.5,-0.319455385,6
1998,TUR,45.45454407,49,-0.099510565,7
1998,TKM,15.50802135,7,-1.410501361,4
1998,TUV,,80,0.876508176,2
1998,UGA,18.71657753,32,-0.646357477,6
1998,UKR,4.278074741,18.5,-0.982280314,6
1998,ARE,55.61497498,70,0.716092944,5
1998,GBR,96.25668335,95,1.733099103,7
1998,USA,91.97860718,92.5,1.566960216,7
1998,URY,82.88770294,67.5,0.617432356,7
1998,UZB,11.22994614,10.5,-1.25742805,4
1998,VUT,61.4973259,61.5,0.333779961,3
1998,VEN,22.45989227,28.5,-0.706548154,8
1998,VNM,38.5026741,39.5,-0.402721375,6
1998,VIR,,,,
1998,PSE,55.08021545,50,-0.051891938,3
1998,YEM,17.11229897,7.5,-1.392270207,6
1998,ZMB,26.73796844,36.5,-0.468716353,6
1998,ZWE,37.43315506,26.5,-0.774310112,6
2000,AFG,4.787233829,1.49253726,-1.780660748,4
2000,ALB,23.93617058,18.9054718,-1.020667672,6
2000,DZA,16.48936081,11.44278622,-1.245844364,7
2000,ASM,,,,
2000,AND,88.29787445,87.56218719,1.286165476,3
2000,AGO,8.510638237,2.48756218,-1.601501703,7
2000,AIA,,,,
2000,ATG,81.38298035,84.57711792,1.034903526,3
2000,ARG,52.12765884,43.28358078,-0.214404494,9
2000,ARM,25,36.31840897,-0.501016259,6
2000,ABW,,,,
2000,AUS,93.61701965,95.02487183,1.722066879,8
2000,AUT,92.55319214,98.00994873,1.81233263,8
2000,AZE,4.255319118,14.42786026,-1.145636201,7
2000,BHS,86.17021179,88.55721283,1.290822387,4
2000,BHR,66.48936462,60.19900513,0.280279636,5
2000,BGD,6.914893627,20.89552307,-0.991129994,7
2000,BRB,90.95744324,90.04975128,1.396225691,4
2000,BLR,38.82978821,15.42288589,-1.100583553,6
2000,BEL,90.42552948,89.05472565,1.313934088,8
2000,BLZ,56.38298035,54.22885513,0.098326825,3
2000,BEN,31.38297844,46.26865768,-0.181523725,5
2000,BMU,88.29787445,86.06964874,1.230997324,1
2000,BTN,71.27659607,55.22388077,0.130426154,4
2000,BOL,40.42553329,39.80099487,-0.368222207,8
2000,BIH,35.10638428,32.83581924,-0.602258623,5
2000,BWA,78.19149017,67.16417694,0.577083766,7
2000,BRA,57.97872162,42.28855896,-0.244871855,9
2000,BRN,65.42552948,64.17910767,0.517945468,4
2000,BGR,51.06383133,48.25870514,-0.123777077,8
2000,BFA,60.10638428,29.35323334,-0.732384086,6
2000,BDI,26.06382942,2.98507452,-1.568517089,5
2000,CPV,84.04255676,69.65174103,0.638421953,4
2000,KHM,18.0851059,16.41790962,-1.08395493,5
2000,CMR,2.127659559,12.4378109,-1.192747235,7
2000,CAN,95.21276855,94.02985382,1.665486097,8
2000,CYM,88.29787445,91.54228973,1.491396904,1
2000,CAF,7.978723526,6.965174198,-1.375956655,5
2000,TCD,2.659574509,14.92537308,-1.130994678,5
2000,CHL,91.48936462,86.56716156,1.260923386,9
2000,CHN,49.46808624,35.32338333,-0.516117156,8
2000,COL,42.55319214,22.88557243,-0.92503792,9
2000,COM,18.61702156,12.93532372,-1.168427587,5
2000,COD,0.53191489,0.99502486,-1.820564389,5
2000,COG,19.68085098,8.45771122,-1.348498344,6
2000,COK,,,,
2000,CRI,74.46808624,64.67662048,0.537079811,8
2000,CIV,28.72340393,10.9452734,-1.247669816,7
2000,HRV,57.44680786,50.74626923,-0.029868536,7
2000,CUB,65.95744324,18.40796089,-1.049848676,6
2000,CYP,83.51063538,84.0796051,1.016058803,6
2000,CZE,60.63829803,68.65671539,0.607116282,8
2000,DNK,99.46808624,97.51243591,1.808733463,8
2000,DJI,34.04255295,24.8756218,-0.88296622,5
2000,DMA,81.38298035,71.6417923,0.803646386,3
2000,DOM,32.44680786,31.3432827,-0.676537395,6
2000,ECU,27.65957451,31.84079552,-0.666360259,8
2000,EGY,39.36170197,49.75124359,-0.051582698,8
2000,SLV,29.78723335,26.86567116,-0.803453267,8
2000,GNQ,6.382978916,8.955224037,-1.3358922,6
2000,ERI,69.14893341,27.86069679,-0.795131266,5
2000,EST,77.65957642,68.15920258,0.594717026,7
2000,SWZ,55.31914902,30.34825897,-0.715451121,5
2000,ETH,22.34042549,21.8905468,-0.983719409,7
2000,FJI,72.34042358,41.79104614,-0.276727378,4
2000,FIN,100,100,1.953407645,8
2000,FRA,88.82978821,91.04477692,1.432307482,8
2000,GUF,81.38298035,82.58706665,0.970597625,1
2000,GAB,35.63829803,45.27363205,-0.182711691,7
2000,GMB,45.21276474,47.76119232,-0.145569503,6
2000,GEO,13.82978725,22.38805962,-0.938497543,5
2000,DEU,93.0851059,93.532341,1.609418869,8
2000,GHA,53.19149017,52.23880768,0.078732707,7
2000,GRC,72.87233734,80.09950256,0.861044526,8
2000,GRL,,,,
2000,GRD,81.38298035,61.69154358,0.341131985,3
2000,GUM,,,,
2000,GTM,25.53191566,24.37810898,-0.8857916,8
2000,GIN,13.29787254,5.4726367,-1.389179468,6
2000,GNB,21.27659607,9.452735901,-1.319461226,6
2000,GUY,42.02127838,38.30845642,-0.423614681,5
2000,HTI,7.446808338,3.98009944,-1.455036402,5
2000,HND,17.55319214,19.90049744,-0.998041213,8
2000,HKG,85.63829803,71.14427948,0.796505094,6
2000,HUN,75.53191376,73.13433075,0.832505941,8
2000,ISL,98.40425873,96.51741028,1.796794534,7
2000,IND,43.61701965,62.1890564,0.348079592,8
2000,IDN,21.80850983,30.84577179,-0.696610868,8
2000,IRN,44.14893723,34.82587051,-0.519492507,6
2000,IRQ,0,4.975124359,-1.393393517,6
2000,IRL,89.89361572,92.53731537,1.539682627,8
2000,ISR,82.97872162,83.58209229,1.001001835,8
2000,ITA,75,73.63184357,0.838105559,8
2000,JAM,59.04255295,36.81592178,-0.481999129,7
2000,JPN,85.10638428,88.05970001,1.289759159,8
2000,JEY,,,,
2000,JOR,58.51063919,62.6865654,0.358365744,7
