paid,year,country,ccode1,ccode2,PrevAgmt,PrevAgmt_Bin,Lgt,post_1990,post_2005
1359,2007,Cote dIvoire,IVO,CIV,5,1,10,1,1
1360,2007,Cote dIvoire,IVO,CIV,6,1,1,1,1
1361,2007,Cote dIvoire,IVO,CIV,7,1,2,1,1
1362,2007,Cote dIvoire,IVO,CIV,7,1,1,1,1
1367,2007,Uganda,UGA,UGA,3,1,13,1,1
1368,2007,Uganda,UGA,UGA,4,1,11,1,1
1373,2008,Central African Republic,CEN,CAF,1,1,5,1,1
1374,2008,Somalia,SOM,SOM,12,1,3,1,1
1376,2008,Cote dIvoire,IVO,CIV,8,1,5,1,1
1377,2008,Uganda,UGA,UGA,5,1,8,1,1
1378,2008,Uganda,UGA,UGA,6,1,8,1,1
1379,2008,Uganda,UGA,UGA,7,1,9,1,1
1380,2008,Uganda,UGA,UGA,8,1,9,1,1
1381,2008,Uganda,UGA,UGA,9,1,9,1,1
1384,2009,DR Congo ,ZAI,COD,6,1,8,1,1
1385,2008,Somalia,SOM,SOM,14,1,2,1,1
1386,2008,Burundi,BUI,BDI,11,1,2,1,1
1387,1985,Uganda,UGA,UGA,0,0,14,0,0
1388,1988,Uganda,UGA,UGA,1,1,3,0,0
1389,1978,South Africa,SAF,ZAF,0,0,9,0,0
1391,1984,Mozambique,MZM,MOZ,0,0,1,0,0
1393,1990,South Africa,SAF,ZAF,0,0,2,1,0
1394,1990,South Africa,SAF,ZAF,1,1,3,1,0
1395,1991,South Africa,SAF,ZAF,2,1,2,1,0
1396,1992,South Africa,SAF,ZAF,3,1,3,1,0
1397,1993,South Africa,SAF,ZAF,4,1,72,1,0
1399,1979,Zimbabwe ,ZIM,ZWE,1,1,57,0,0
1402,1975,Zimbabwe ,ZIM,ZWE,0,0,2,0,0
1403,1979,Mauritania,MAA,MRT,0,0,4,0,0
1404,1988,Sudan,SUD,SDN,0,0,2,0,0
1405,1983,Chad ,CHA,TCD,0,0,,0,0
1406,1975,Iran ,IRN,IRN,0,0,79,0,0
1407,1975,Iran ,IRN,IRN,1,1,79,0,0
1408,1975,Iran ,IRN,IRN,2,1,79,0,0
1409,1975,Iran ,IRN,IRN,3,1,79,0,0
1410,1975,Iran ,IRN,IRN,4,1,3,0,0
1411,1975,Iran ,IRN,IRN,5,1,79,0,0
1412,1975,Iran ,IRN,IRN,5,1,79,0,0
1413,1975,Iran ,IRN,IRN,5,1,7,0,0
1414,1975,Iran ,IRN,IRN,5,1,8,0,0
1415,1975,Iran ,IRN,IRN,5,1,79,0,0
1416,1975,Iran ,IRN,IRN,5,1,79,0,0
1417,1975,Iran ,IRN,IRN,5,1,3,0,0
1420,1989,Chad ,CHA,TCD,0,0,3,0,0
1421,1994,Chad ,CHA,TCD,1,1,3,1,0
1422,1976,Philippines,PHI,PHL,0,0,5,0,0
1423,1988,India,IND,IND,5,1,3,0,0
1424,1987,Philippines,PHI,PHL,1,1,5,0,0
1425,1979,Yemen ,YEM,YEM,0,0,11,0,0
1426,1978,Chad,CHA,TCD,1,1,,0,0
1427,1978,Chad,CHA,TCD,0,0,,0,0
1428,1979,Chad,CHA,TCD,2,1,,0,0
1430,2010,Sudan,SUD,SDN,15,1,3,1,1
1432,2010,Djibouti ,DJI,DJI,0,0,1,1,1
1433,2011,Central African Republic,CEN,CAF,2,1,,1,1
1434,2011,Sudan,SUD,SDN,16,1,7,1,1
1436,2006,Nepal,NEP,NPL,2,1,7,1,1
1437,2006,Nepal,NEP,NPL,1,1,3,1,1
1438,2006,Nepal,NEP,NPL,0,0,4,1,1
1439,2012,Philippines,PHI,PHL,9,1,14,1,1
1444,2012,South Sudan ,SSU,SSD,0,0,7,1,1
1447,2012,Colombia,COL,COL,14,1,3,1,1
1454,2012,Central African Republic,CEN,CAF,4,1,3,1,1
1456,2012,South Sudan ,SSU,SSD,0,0,75,1,1
1457,2012,South Sudan ,SSU,SSD,0,0,4,1,1
1468,2013,DR Congo ,ZAI,COD,7,1,2,1,1
1469,2013,Central African Republic,CEN,CAF,5,1,2,1,1
1470,2013,Philippines,PHI,PHL,10,1,6,1,1
1471,2013,Philippines,PHI,PHL,11,1,8,1,1
1472,2013,Philippines,PHI,PHL,12,1,12,1,1
1476,2014,Philippines,PHI,PHL,13,1,10,1,1
1477,2014,Philippines,PHI,PHL,14,1,5,1,1
1478,2014,Philippines,PHI,PHL,13,1,3,1,1
1480,2014,South Sudan,SSU,SSD,1,1,15,1,1
1482,2014,South Sudan,SSU,SSD,1,1,3,1,1
1483,2014,Sudan,SUD,SDN,17,1,2,1,1
1484,2014,South Sudan,SSU,SSD,2,1,7,1,1
1485,2015,Myanmar ,MYA,MMR,2,1,12,1,1
1486,2015,Central African Republic,CEN,CAF,7,1,8,1,1
1487,2016,Colombia,COL,COL,21,1,323,1,1
1488,2016,Afghanistan,AFG,AFG,4,1,4,1,1
1489,2003,Burundi,BUI,BDI,4,1,26,1,0
1490,2008,Burundi,BUI,BDI,9,1,1,1,1
1491,2008,Burundi,BUI,BDI,10,1,3,1,1
1493,2011,Central African Republic,CEN,CAF,3,1,4,1,1
1494,2013,Central African Republic,CEN,CAF,5,1,3,1,1
1495,2013,Central African Republic,CEN,CAF,5,1,4,1,1
1497,2015,Central African Republic,CEN,CAF,6,1,5,1,1
1498,2017,Central African Republic,CEN,CAF,8,1,10,1,1
1499,2007,Chad,CHA,TCD,14,1,3,1,1
1501,1984,Colombia,COL,COL,0,0,4,0,0
1502,1990,Colombia,COL,COL,1,1,4,1,0
1503,1991,Colombia,COL,COL,7,1,2,1,0
1505,1998,Colombia,COL,COL,8,1,3,1,0
1506,2013,Colombia,COL,COL,16,1,25,1,1
1507,2014,Colombia,COL,COL,17,1,22,1,1
1508,2016,Colombia,COL,COL,20,1,12,1,1
1511,2000,Eritrea ,ERI,ERI,0,0,3,1,0
1512,1999,India ,IND,IND,0,0,2,1,0
1513,1999,India ,IND,IND,0,0,2,1,0
1514,2015,India,IND,IND,0,0,1,1,1
1515,1995,Israel,ISR,ISR,3,1,10,1,0
1517,2015,Mali,MLI,MLI,4,1,3,1,1
1518,2012,Myanmar ,MYA,MMR,0,0,1,1,1
1520,2011,Nepal,NEP,NPL,4,1,3,1,1
1521,1988,Nicaragua,NIC,NIC,7,1,2,0,0
1522,1990,Nicaragua,NIC,NIC,8,1,3,1,0
1523,1992,Rwanda,RWA,RWA,2,1,24,1,0
1524,1993,Philippines,PHI,PHL,2,1,5,1,0
1526,2005,Philippines,PHI,PHL,5,1,2,1,1
1527,2006,Philippines,PHI,PHL,6,1,4,1,1
1528,2006,Philippines,PHI,PHL,7,1,2,1,1
